Country,Life_Expectancy,Female,Male
Saint Lucia,76.67,78.06,75.27
Samoa,73.75,75.97,71.69
Sao Tome & Principe,71.01,73.5,68.54
Saudi Arabia,75.69,77.37,74.47
Senegal,68.87,70.88,66.64
Serbia,76.47,79.05,73.89
Seychelles,73.74,77.71,70.26
Sierra Leone,55.92,56.78,55.01
Singapore,84.07,86.15,82.06
Slovakia,78,81.35,74.59
Slovenia,81.85,84.44,79.26
Solomon Islands,73.38,75.31,71.6
Somalia,58.34,60.11,56.62
South Africa,64.88,68.42,61.46
South Korea,83.5,86.42,80.46
South Sudan,58.74,60.31,57.21
Spain,83.99,86.68,81.27
Sri Lanka,77.56,80.74,74.25
St. Vincent & Grenadines,72.98,75.62,70.66
State of Palestine,74.62,76.38,72.92
Sudan,66.09,68.03,64.18
Suriname,72.13,75.55,68.88
Sweden,83.33,84.97,81.69
Switzerland,84.25,86.02,82.42
Syria,76.06,79.11,73.13
Taiwan,81.04,83.64,78.49
Tajikistan,71.76,74.11,69.5
Tanzania,66.39,68.25,64.52
Thailand,77.74,81.34,74.16
Timor-Leste,70.18,72.36,68.14
Togo,62.13,63.08,61.16
Tonga,71.32,73.38,69.28
Trinidad and Tobago,73.91,76.66,71.24
Tunisia,77.36,79.34,75.37
Turkey,78.45,81.21,75.57
Turkmenistan,68.63,72.19,65.1
U.S. Virgin Islands,81.17,83.52,78.64
Uganda,64.38,66.67,61.99
Ukraine,72.5,77.27,67.56
United Arab Emirates,78.46,79.8,77.79
United Kingdom,81.77,83.28,80.22
United States,79.11,81.65,76.61
Uruguay,78.43,81.88,74.75
Uzbekistan,72.04,74.26,69.8
Vanuatu,70.99,72.75,69.4
Venezuela,72.34,76.25,68.59
Vietnam,75.77,79.85,71.73
Western Sahara,71.08,73.19,69.36
Yemen,66.44,68.16,64.72
Zambia,64.7,67.71,61.66
Zimbabwe,62.16,63.66,60.39
