country,location,life_expectancy,female,male
Mauritania,"21.00789, -10.94084",65.57,67.24,63.88
Mauritius,"-20.3484, 57.55215",75.51,78.92,72.21
Mayotte,"-12.8275, 45.16625",79.85,83.24,76.62
Mexico,"23.6345, -102.55279",75.41,78.17,72.62
Micronesia,"7.42555, 150.55081",74.08,77.2,71.14
Moldova,"47.41163, 28.36988",72.3,76.53,68.02
Mongolia,"46.8625, 103.84666",70.53,74.79,66.43
Montenegro,"42.70868, 19.37439",77.39,79.77,74.99
Morocco,"31.7917, -7.09262",77.43,78.66,76.17
Mozambique,"-18.6657, 35.52956",62.13,64.95,59.05
Myanmar ,"21.913965, 95.956223",67.78,70.81,64.65
Namibia,"-22.95764, 18.49041",64.86,67.67,61.83
Nepal,"28.39486, 84.12401",71.74,73.23,70.13
Netherlands,"52.13263, 5.29127",82.78,84.35,81.2
New Caledonia,"-20.90431, 165.61804",78.16,80.89,75.61
New Zealand,"-40.90056, 174.88597",82.8,84.38,81.2
Nicaragua,"12.86542, -85.20723",75.23,78.65,71.75
Niger,"17.60779, 8.08167",63.62,64.89,62.41
Nigeria,"9.082, 8.67528",55.75,56.75,54.8
North Korea,"40.33985, 127.51009",72.89,76.37,69.26
Norway,"60.47202, 8.46895",82.94,84.78,81.11
Oman,"21.51258, 55.92326",78.58,80.94,76.9
Pakistan,"30.37532, 69.34512",67.79,68.9,66.77
Panama,"8.53798, -80.78213",79.1,82.2,76.14
Papua New Guinea,"-6.31499, 143.95555",65.22,66.62,63.92
Paraguay,"-23.4425, -58.44383",74.59,76.78,72.55
Peru,"-9.18997, -75.01515",77.44,80.15,74.87
Philippines,"12.87972, 121.77402",71.66,75.92,67.67
Poland,"51.91944, 19.14514",79.27,82.98,75.51
Portugal,"39.39987, -8.22445",82.65,85.28,79.79
Puerto Rico,"18.22083, -66.59015",80.69,83.92,77.27
Qatar,"25.35483, 51.18388",80.73,82.49,79.78
Réunion,"-21.11514, 55.53639",81.55,84.45,78.52
Romania,"45.94316, 24.96676",76.5,79.91,73.13
Russia,"61.52401, 105.31876",72.99,78.15,67.62
Rwanda,"-1.94028, 29.87389",70,72.16,67.75
Saint Lucia,"13.90944, -60.97889",76.67,78.06,75.27
Samoa,"-13.75903, -172.10463",73.75,75.97,71.69
Saudi Arabia,"23.88594, 45.07916",75.69,77.37,74.47
Senegal,"14.4974, -14.45236",68.87,70.88,66.64
Serbia,"44.01652, 21.00586",76.47,79.05,73.89
Seychelles,"-4.67957, 55.49198",73.74,77.71,70.26
Sierra Leone,"8.46056, -11.77989",55.92,56.78,55.01
Singapore,"1.35208, 103.81984",84.07,86.15,82.06
Slovakia,"48.66903, 19.69902",78,81.35,74.59
Slovenia,"46.15124, 14.99546",81.85,84.44,79.26
Solomon Islands,"-9.64571, 160.15619",73.38,75.31,71.6
Somalia,"5.15215, 46.19962",58.34,60.11,56.62
South Africa,"-30.55948, 22.93751",64.88,68.42,61.46
South Korea,"35.90776, 127.76692",83.5,86.42,80.46
Spain,"40.46367, -3.74922",83.99,86.68,81.27
Sri Lanka,"7.87305, 80.7718",77.56,80.74,74.25
Sudan,"12.86281, 30.21764",66.09,68.03,64.18
Suriname,"3.91931, -56.02778",72.13,75.55,68.88
Sweden,"60.12816, 18.6435",83.33,84.97,81.69
Switzerland,"46.81819, 8.22751",84.25,86.02,82.42
Syria,"34.80207, 38.99682",76.06,79.11,73.13
Taiwan,"23.69781, 120.96052",81.04,83.64,78.49
Tajikistan,"38.86103, 71.27609",71.76,74.11,69.5
Tanzania,"-6.36903, 34.88882",66.39,68.25,64.52
Thailand,"15.87003, 100.99254",77.74,81.34,74.16
Timor-Leste,"-8.87422, 125.72754",70.18,72.36,68.14
Togo,"8.61954, 0.82478",62.13,63.08,61.16
Tonga,"-21.17899, -175.19824",71.32,73.38,69.28
Trinidad and Tobago,"10.6918, -61.2225",73.91,76.66,71.24
Tunisia,"33.88692, 9.5375",77.36,79.34,75.37
Turkey,"38.96375, 35.24332",78.45,81.21,75.57
Turkmenistan,"38.96972, 59.55628",68.63,72.19,65.1
U.S. Virgin Islands,"18.33577, -64.89633",81.17,83.52,78.64
Uganda,"1.37333, 32.29028",64.38,66.67,61.99
Ukraine,"48.37943, 31.16558",72.5,77.27,67.56
United Arab Emirates,"23.42408, 53.84782",78.46,79.8,77.79
United Kingdom,"55.37805, -3.43597",81.77,83.28,80.22
United States,"37.09024, -95.71289",79.11,81.65,76.61
Uruguay,"-32.52278, -55.76584",78.43,81.88,74.75
Uzbekistan,"41.37749, 64.58526",72.04,74.26,69.8
Vanuatu,"-15.37671, 166.95915",70.99,72.75,69.4
Venezuela,"6.42375, -66.58973",72.34,76.25,68.59
Vietnam,"14.05832, 108.2772",75.77,79.85,71.73
Western Sahara,"24.21553, -12.88583",71.08,73.19,69.36
Yemen,"15.55273, 48.51639",66.44,68.16,64.72
Zambia,"-13.1339, 27.84933",64.7,67.71,61.66
Zimbabwe,"-19.01544, 29.15486",62.16,63.66,60.39
