Country,Location_,Life_expectancy,Drinking_Water,Hand_Washing,Safe_Sanitation
Montenegro,"[42.708678,19.37439]",75.9,85,99,45
Morocco,"[31.791702,-7.09262]",73,80,-,39
Mozambique,"[-18.665695,35.529562]",58.1,-,-,-
Myanmar,"[21.913965,95.956223]",69.1,59,75,61
Namibia,"[-22.95764,18.49041]",64.6,-,-,-
Nepal,"[28.394857,84.124008]",70.9,18,62,49
Netherlands,"[52.132633,5.291266]",81.8,100,-,97
New Zealand,"[-40.900557,174.885971]",82,100,-,82
Nicaragua,"[12.865416,-85.207229]",75,56,-,-
Niger,"[17.607789,8.081666]",63.3,-,23,16
Nigeria,"[9.081999,8.675277]",62.6,22,33,31
North Macedonia,"[41.608635,21.745275]",74.8,77,100,12
Norway,"[60.472024,8.468946]",82.6,99,-,65
Oman,"[21.512583,55.923255]",73.9,91,97,-
Pakistan,"[30.375321,69.345116]",65.6,36,80,-
Panama,"[8.537981,-80.782127]",79.3,-,-,-
Papua New Guinea,"[-6.314993,143.95555]",65.3,-,30,-
Paraguay,"[-23.442503,-58.443832]",75.8,64,80,60
Peru,"[-9.189967,-75.015152]",79.9,51,-,53
Philippines,"[12.879721,121.774017]",70.4,47,82,61
Poland,"[51.919438,19.145136]",78.3,98,-,91
Portugal,"[39.399872,-8.224454]",81.6,95,-,85
Qatar,"[25.354826,51.183884]",77.2,96,-,97
Republic of Korea,"[35.907757,127.766922]",83.3,99,-,100
Republic of Moldova,"[47.411631,28.369885]",73.3,74,-,-
Romania,"[45.943161,24.96676]",75.6,82,-,83
Russian Federation,"[61.52401,105.318756]",73.2,76,-,61
Rwanda,"[-1.940278,29.873888]",69.1,12,5,-
Saint Kitts and Nevis,"[17.357822,-62.782998]",74.3,-,-,-
Saint Lucia,"[13.909444,-60.978893]",73.2,-,-,-
Saint Vincent and the Grenadines,"[12.984305,-61.287228]",70.5,46,79,48
Samoa,"[-13.759029,-172.104629]",70.4,36,55,35
Sao Tome and Principe,"[0.18636,6.613081]",74.3,-,-,59
Saudi Arabia,"[23.885942,45.079162]",68.6,-,22,24
Senegal,"[14.497401,-14.452362]",75.9,75,-,18
Serbia,"[44.016521,21.005859]",73.3,-,-,-
Seychelles,"[-4.679574,55.491977]",60.8,11,21,14
Sierra Leone,"[8.460555,-11.779889]",83.2,100,-,100
Singapore,"[1.352083,103.819836]",78.2,99,-,82
Slovakia,"[48.669026,19.699024]",81.3,98,-,72
Slovenia,"[46.151241,14.995463]",65.2,-,-,-
Solomon Islands,"[-9.64571,160.156194]",56.5,-,25,32
Somalia,"[5.152149,46.199616]",65.3,-,44,-
South Africa,"[-30.559482,22.937506]",62.8,-,-,-
South Sudan,"[6.877000,31.307000]",83.2,100,-,96
